TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
4306,5,3,1,7,2,2,138633.0
2791,5,3,1,10,2,2,300248.0
3813,5,3,1,11,2,2,233.0
563,5,3,1,12,2,2,1920053.0
4910,5,3,2,4,2,2,5270010.0
5487,5,3,2,5,2,2,1110710.0
6732,5,3,2,9,1,1,2.64
1175,5,3,2,12,2,2,6380720.0
2359,5,4,1,2,2,2,305452.0
1788,5,4,1,3,2,2,140761.0
3396,5,4,1,6,2,2,1121233.0
4307,5,4,1,7,2,2,152717.0
2792,5,4,1,10,2,2,294370.0
3814,5,4,1,11,2,2,239.0
564,5,4,1,12,2,2,2014772.0
4911,5,4,2,4,2,2,5474681.0
5488,5,4,2,5,2,2,1061426.0
6207,5,4,2,8,2,2,1135152.0
6733,5,4,2,9,1,1,3.19
1176,5,4,2,12,2,2,6536107.0
2360,5,5,1,2,2,2,304964.0
1789,5,5,1,3,2,2,137196.0
3397,5,5,1,6,2,2,1190997.0
4308,5,5,1,7,2,2,164522.0
2793,5,5,1,10,2,2,251699.0
3815,5,5,1,11,2,2,243.0
565,5,5,1,12,2,2,2049621.0
4912,5,5,2,4,2,2,5456411.0
5489,5,5,2,5,2,2,1046494.0
6734,5,5,2,9,1,1,3.41
1177,5,5,2,12,2,2,6502905.0
2361,5,6,1,2,2,2,302460.0
1790,5,6,1,3,2,2,133172.0
3398,5,6,1,6,2,2,1238191.0
4309,5,6,1,7,2,2,186241.0
2794,5,6,1,10,2,2,254766.0
3816,5,6,1,11,2,2,231.0
